source,meeting_date,question_text,outcome,tfidf_positive_score,tfidf_negative_score,tfidf_balance,sentiment_positive_ratio,sentiment_negative_ratio,concern_density,briefing_char_count,survival_positive,pfs_only,safety_concern_flag,accelerated_approval_flag,p_value_strong
may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20,Do the results from the AQUILA trial provide sufficient evidence to support a favorable benefit-risk profile for Dara SC for patients with high-risk SMM?,yes,1.9055233440605601,1.7027794801693223,0.20274386389123777,0.013471095997907403,0.030996599529165576,8.459608401998166,859654,1,0,1,1,1
may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20,Is the overall benefit-risk of the investigational therapy UGN-102 favorable in patients with recurrent LG-IR-NMIBC?,no,1.9055233440605601,1.7027794801693223,0.20274386389123777,0.013471095997907403,0.030996599529165576,8.459608401998166,859654,1,0,1,1,1
may-20-21-2025-meeting-oncologic-drugs-advisory-committee-05202025,2025-05-20,Are the results from TALAPRO-2 sufficient to conclude a favorable benefit-risk profile for adding talazoparib to enzalutamide in patients with non-homologous recombination repair mutated (non-HRRm) metastatic castration-resistant prostate cancer (mCRPC)?,no,1.9055233440605601,1.7027794801693223,0.20274386389123777,0.013471095997907403,0.030996599529165576,8.459608401998166,859654,1,0,1,1,1
october-4-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-10042023,2023-10-04,Has the Applicant provided sufficient evidence to conclude that DFMO improves event-free survival in patients with high-risk neuroblastoma?,yes,1.4174475134271796,1.4343287934267395,-0.016881279999559906,0.004358028830036876,0.012738853503184714,6.368949497976923,436056,0,0,1,1,1
october-5-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement-10052023,2023-10-05,"Can the primary endpoint, progression-free survival (PFS) per blinded independent central review (BICR), be reliably interpreted in CodeBreak200?",no,1.4074006660362541,1.8858276120398492,-0.47842694600359503,0.007248660573589662,0.0658682634730539,9.204198769326231,366511,1,0,1,1,1
september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22,Do the current benefits of poziotinib outweigh its risks for the treatment of patients with NSCLC with HER2 exon 20 insertion mutations?,no,0.0,2.066282787131439,-2.066282787131439,0.0,0.03197674418604651,10.15299026425591,48234,0,0,1,1,0
september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22,"Given the potential detriment in overall survival, failure to demonstrate a progression-free survival benefit, and lack of an appropriate dose, is the benefit-risk profile of melphalan flufenamide favorable for the currently indicated patient population?",no,0.0,2.066282787131439,-2.066282787131439,0.0,0.03197674418604651,10.15299026425591,48234,0,0,1,1,0
september-22-23-2022-meeting-oncologic-drugs-advisory-committee-announcement-09222022,2022-09-22,"Given the potential detriment in overall survival, duvelisib-associated toxicity, concerns with the selected dose, and the safety issues with the PI3K inhibitor class, is the benefit-risk profile of duvelisib favorable in patients with relapsed or refractory CLL or SLL after at least two prior therapies?",no,0.0,2.066282787131439,-2.066282787131439,0.0,0.03197674418604651,10.15299026425591,48234,0,0,1,1,0
september-26-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-09262024,2024-09-26,Is a risk benefit assessment favorable for the use of PD-1 inhibitors in first line advanced HER2 negative microsatellite stable gastric/GEJ adenocarcinoma in patients with PD-L1 expression < 1?,no,1.9454808567174429,1.4206934207585538,0.5247874359588891,0.01316872427983539,0.022810111699000588,3.256816005644308,972765,1,0,1,1,1
september-26-2024-meeting-oncologic-drugs-advisory-committee-meeting-announcement-09262024,2024-09-26,Is the risk: benefit assessment favorable for the use of anti-PD-1 antibodies in first line unresectable or metastatic esophageal squamous cell carcinoma with PD-L1 expression <1?,no,1.9454808567174429,1.4206934207585538,0.5247874359588891,0.01316872427983539,0.022810111699000588,3.256816005644308,972765,1,0,1,1,1
updated-information-february-9-2023-meeting-oncologic-drugs-advisory-committee-meeting-announcement,2023-02-09,Will the data from the proposed single arm trials enrolling a total of 130 patients be sufficient to characterize the benefits and risks of dostarlimab in the curative intent setting for patients with dMMR/MSI-H LARC?,yes,0.5231730075723597,0.8522264981492255,-0.3290534905768657,0.0017482517482517483,0.0034965034965034965,2.250562640660165,77124,0,0,1,1,1
updated-public-participation-information-july-14-2020-meeting-oncologic-drugs-advisory-committee,2020-07-14,Does the demonstrated benefit of belantamab mafodotin outweigh the risks in the proposed patient population with multiple myeloma?,yes,0.9910296814710395,1.9037854460311054,-0.9127557645600659,0.006598984771573604,0.024365482233502538,6.570004531037608,239230,0,0,1,1,0
